"site","id","title","link","img_link","date"
"dba","id-1032919881","klinge-shimano-xt-8000-ub","http://www.dba.dk/klinge-shimano-xt-8000-ub/id-1032919881/","https://i.ebayimg.com/images/g/q1QAAOSw3utY6gbK/s-l200.jpg",2017-04-09
"dba","id-1032919404","andet-maerke-carbon-hardtail","http://www.dba.dk/andet-maerke-carbon-hardtail/id-1032919404/","https://i.ebayimg.com/images/g/9psAAOSwnF9Y6gRG/s-l200.jpg",2017-04-09
"dba","id-1032915166","bremser-shimano-xt-shiman","http://www.dba.dk/bremser-shimano-xt-shiman/id-1032915166/","https://i.ebayimg.com/images/g/Pf0AAOSw03lY6e1N/s-l200.jpg",2017-04-09
"dba","id-1032905936","stel-jeg-saelger-min-ghost","http://www.dba.dk/stel-jeg-saelger-min-ghost/id-1032905936/","https://i.ebayimg.com/images/g/SokAAOSwc-tY6S7K/s-l200.jpg",NA
"dba","id-1032905786","ghost-se-3000-hardtail-16","http://www.dba.dk/ghost-se-3000-hardtail-16/id-1032905786/","https://i.ebayimg.com/images/g/RRcAAOSwnF9Y6S27/s-l200.jpg",NA
"dba","id-1032904474","forskifter-ny-shimano-xt","http://www.dba.dk/forskifter-ny-shimano-xt/id-1032904474/","https://i.ebayimg.com/images/g/KacAAOSwnF9Y6SKZ/s-l200.jpg",NA
"dba","id-1032897385","scott-scott-contessa-scale","http://www.dba.dk/scott-scott-contessa-scale/id-1032897385/","https://i.ebayimg.com/images/g/eNYAAOSwuLZY6PFM/s-l200.jpg",NA
"dba","id-1032895780","orbea-satellite-hardtail-16","http://www.dba.dk/orbea-satellite-hardtail-16/id-1032895780/","https://i.ebayimg.com/images/g/V2MAAOSww3tY6Oe0/s-l200.jpg",NA
"dba","id-1032892395","kup-luksus-elcykel-saelges","http://www.dba.dk/kup-luksus-elcykel-saelges/id-1032892395/","https://i.ebayimg.com/images/g/N~gAAOSwTM5Y6NII/s-l200.jpg",NA
"dba","id-1032889139","merida-big-seven-600","http://www.dba.dk/merida-big-seven-600/id-1032889139/","https://i.ebayimg.com/images/g/~LkAAOSwpkFY6L8V/s-l200.jpg",NA
"dba","id-1032880396","herrecykel-trek-6000-fin","http://www.dba.dk/herrecykel-trek-6000-fin/id-1032880396/","https://i.ebayimg.com/images/g/PzkAAOSwls5Y6IN0/s-l200.jpg",NA
"dba","id-1032876881","felt-racercykel","http://www.dba.dk/felt-racercykel/id-1032876881/","https://i.ebayimg.com/images/g/KTsAAOSwuLZY5~a0/s-l200.jpg",2017-04-07
"dba","id-1032777847","giant-talon-29er-1-2016","http://www.dba.dk/giant-talon-29er-1-2016/id-1032777847/","https://i.ebayimg.com/images/g/Z7oAAOSw3utY5~W4/s-l200.jpg",2017-04-07
"dba","id-1032876311","cannondale-f-si-al-2-m","http://www.dba.dk/cannondale-f-si-al-2-m/id-1032876311/","https://i.ebayimg.com/images/g/9eAAAOSwnF9Y5~Ar/s-l200.jpg",2017-04-07
"dba","id-1032874605","felt-q620-hardtail-155","http://www.dba.dk/felt-q620-hardtail-155/id-1032874605/","https://i.ebayimg.com/images/g/m5MAAOSwls5Y5-LL/s-l200.jpg",2017-04-07
"dba","id-1032866383","andet-maerke-surly-moonlander","http://www.dba.dk/andet-maerke-surly-moonlander/id-1032866383/","https://i.ebayimg.com/images/g/lIwAAOSw03lY58~6/s-l200.jpg",2017-04-07
"dba","id-1032860211","kranksaet-shimano-xt-m780","http://www.dba.dk/kranksaet-shimano-xt-m780/id-1032860211/","https://i.ebayimg.com/images/g/AQgAAOSwhQhY51O-/s-l200.jpg",2017-04-07
"dba","id-1032858281","skiftegreb-shimano-deore-xt","http://www.dba.dk/skiftegreb-shimano-deore-xt/id-1032858281/","https://i.ebayimg.com/images/g/cmAAAOSwhQhY5z~F/s-l200.jpg",2017-04-07
"dba","id-1032853843","giant-talon-275-rc-ltd","http://www.dba.dk/giant-talon-275-rc-ltd/id-1032853843/","https://i.ebayimg.com/images/g/4UkAAOSwuLZY5qG4/s-l200.jpg",2017-04-07
"dba","id-1032854894","forskifter-shimano-deore","http://www.dba.dk/forskifter-shimano-deore/id-1032854894/","https://i.ebayimg.com/images/g/a4gAAOSwU8hY5qlD/s-l200.jpg",2017-04-06
"dba","id-1032849781","cube-reaction-k18-sram-x0","http://www.dba.dk/cube-reaction-k18-sram-x0/id-1032849781/","https://i.ebayimg.com/images/g/vdwAAOSwc-tY5nP1/s-l200.jpg",2017-04-06
